params_index, test, test_kwargs, nonlinearity, noise_df, intervention, combination, intervention_shift, intervention_scale, intervention_targets, n_samples, rep, dag, X1, X2
3, fisherz, {}, id, 2, soft, additive, 0, 1, [None,1], 200, 1, XY, 0.572, 0.075
3, fisherz, {}, id, 2, soft, additive, 0, 1, [None,1], 200, 1, YX, 1.0, 0.456
3, fisherz, {}, id, 2, soft, additive, 0, 1, [None,1], 200, 2, XY, 0.156, 0.456
3, fisherz, {}, id, 2, soft, additive, 0, 1, [None,1], 200, 2, YX, 0.433, 0.312
3, fisherz, {}, id, 2, soft, additive, 0, 1, [None,1], 200, 3, XY, 0.777, 0.1
3, fisherz, {}, id, 2, soft, additive, 0, 1, [None,1], 200, 3, YX, 0.372, 0.605
3, fisherz, {}, id, 2, soft, additive, 0, 1, [None,1], 200, 4, XY, 0.948, 0.057
3, fisherz, {}, id, 2, soft, additive, 0, 1, [None,1], 200, 4, YX, 0.296, 0.237
3, fisherz, {}, id, 2, soft, additive, 0, 1, [None,1], 200, 5, XY, 0.967, 0.059
3, fisherz, {}, id, 2, soft, additive, 0, 1, [None,1], 200, 5, YX, 0.308, 0.941
3, fisherz, {}, id, 2, soft, additive, 0, 1, [None,1], 200, 6, XY, 0.599, 0.0
3, fisherz, {}, id, 2, soft, additive, 0, 1, [None,1], 200, 6, YX, 0.238, 0.277
3, fisherz, {}, id, 2, soft, additive, 0, 1, [None,1], 200, 7, XY, 0.082, 0.003
3, fisherz, {}, id, 2, soft, additive, 0, 1, [None,1], 200, 7, YX, 0.582, 0.336
3, fisherz, {}, id, 2, soft, additive, 0, 1, [None,1], 200, 8, XY, 0.956, 0.473
3, fisherz, {}, id, 2, soft, additive, 0, 1, [None,1], 200, 8, YX, 0.383, 0.825
3, fisherz, {}, id, 2, soft, additive, 0, 1, [None,1], 200, 9, XY, 0.954, 0.014
3, fisherz, {}, id, 2, soft, additive, 0, 1, [None,1], 200, 9, YX, 0.41, 0.073
4, kci, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 0, XY, 0.003, 0.0
4, kci, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 0, YX, 0.0, 0.866
4, kci, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 1, XY, 0.0, 0.0
4, kci, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 1, YX, 0.0, 0.529
4, kci, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 2, XY, 0.0, 0.001
4, kci, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 2, YX, 0.0, 0.061
4, kci, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 3, XY, 0.0, 0.0
4, kci, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 3, YX, 0.0, 0.817
4, kci, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 4, XY, 0.282, 0.0
4, kci, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 4, YX, 0.0, 0.842
4, kci, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 5, XY, 0.0, 0.0
4, kci, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 5, YX, 0.0, 0.787
4, kci, {}, id, 2, soft, additive, 0, 2, [None,0], 200, 6, XY, 0.0, 0.0
