params_index, test, test_kwargs, nonlinearity, noise_df, intervention, combination, intervention_shift, intervention_scale, intervention_targets, n_samples, rep, dag, X1, X2
42, kci, {}, sqrt, 2, soft, additive, 1, 0, [None,0], 200, 4, YX, 0.0, 0.658
42, kci, {}, sqrt, 2, soft, additive, 1, 0, [None,0], 200, 5, XY, 0.0, 0.015
42, kci, {}, sqrt, 2, soft, additive, 1, 0, [None,0], 200, 5, YX, 0.0, 0.448
42, kci, {}, sqrt, 2, soft, additive, 1, 0, [None,0], 200, 6, XY, 0.0, 0.001
42, kci, {}, sqrt, 2, soft, additive, 1, 0, [None,0], 200, 6, YX, 0.0, 0.151
42, kci, {}, sqrt, 2, soft, additive, 1, 0, [None,0], 200, 7, XY, 0.0, 0.0
42, kci, {}, sqrt, 2, soft, additive, 1, 0, [None,0], 200, 7, YX, 0.0, 0.089
42, kci, {}, sqrt, 2, soft, additive, 1, 0, [None,0], 200, 8, XY, 0.0, 0.007
42, kci, {}, sqrt, 2, soft, additive, 1, 0, [None,0], 200, 8, YX, 0.0, 0.53
42, kci, {}, sqrt, 2, soft, additive, 1, 0, [None,0], 200, 9, XY, 0.0, 0.074
42, kci, {}, sqrt, 2, soft, additive, 1, 0, [None,0], 200, 9, YX, 0.0, 0.835
42, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,0], 200, 0, XY, 0.062, 0.0
42, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,0], 200, 0, YX, 0.0, 0.101
42, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,0], 200, 1, XY, 0.0, 0.005
42, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,0], 200, 1, YX, 0.0, 0.445
42, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,0], 200, 2, XY, 0.0, 0.005
42, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,0], 200, 2, YX, 0.0, 0.095
42, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,0], 200, 3, XY, 0.0, 0.011
42, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,0], 200, 3, YX, 0.0, 0.181
42, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,0], 200, 4, XY, 0.001, 0.171
42, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,0], 200, 4, YX, 0.0, 0.182
42, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,0], 200, 5, XY, 0.0, 0.015
42, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,0], 200, 5, YX, 0.0, 0.355
42, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,0], 200, 6, XY, 0.0, 0.001
42, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,0], 200, 6, YX, 0.0, 0.031
42, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,0], 200, 7, XY, 0.0, 0.0
42, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,0], 200, 7, YX, 0.0, 0.506
42, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,0], 200, 8, XY, 0.0, 0.007
42, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,0], 200, 8, YX, 0.0, 0.119
42, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,0], 200, 9, XY, 0.029, 0.074
42, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,0], 200, 9, YX, 0.0, 0.779
43, kci, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 0, XY, 0.429, 0.0
43, kci, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 0, YX, 1.0, 0.0
43, kci, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 1, XY, 0.011, 0.0
43, kci, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 1, YX, 1.0, 0.0
43, kci, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 2, XY, 0.0, 0.0
43, kci, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 2, YX, 0.433, 0.0
43, kci, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 3, XY, 0.005, 0.0
43, kci, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 3, YX, 0.372, 0.0
43, kci, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 4, XY, 0.164, 0.0
43, kci, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 4, YX, 0.296, 0.0
43, kci, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 5, XY, 0.0, 0.0
43, kci, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 5, YX, 0.308, 0.0
43, kci, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 6, XY, 0.094, 0.0
43, kci, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 6, YX, 0.238, 0.0
43, kci, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 7, XY, 0.099, 0.0
43, kci, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 7, YX, 0.582, 0.0
43, kci, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 8, XY, 0.002, 0.0
43, kci, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 8, YX, 0.383, 0.0
43, kci, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 9, XY, 0.002, 0.0
43, kci, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 9, YX, 0.41, 0.0
43, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 0, XY, 0.98, 0.0
43, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 0, YX, 1.0, 0.0
43, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 1, XY, 0.895, 0.0
43, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 1, YX, 1.0, 0.002
43, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 2, XY, 0.102, 0.0
43, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 2, YX, 0.433, 0.0
43, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 3, XY, 0.706, 0.0
43, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 3, YX, 0.372, 0.1
43, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 4, XY, 0.802, 0.0
43, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 4, YX, 0.296, 0.086
43, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 5, XY, 0.961, 0.0
43, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 5, YX, 0.308, 0.001
43, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 6, XY, 0.422, 0.0
43, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 6, YX, 0.238, 0.003
43, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 7, XY, 0.158, 0.0
43, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 7, YX, 0.582, 0.247
43, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 8, XY, 0.833, 0.0
43, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 8, YX, 0.383, 0.0
43, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 9, XY, 0.159, 0.0
43, fisherz, {}, sqrt, 2, soft, additive, 1, 0, [None,1], 200, 9, YX, 0.41, 0.177
44, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 0, XY, 0.0, 0.019
44, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 0, YX, 0.0, 0.053
44, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 1, XY, 0.0, 0.226
44, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 1, YX, 0.0, 0.726
44, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 2, XY, 0.0, 0.111
44, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 2, YX, 0.0, 0.109
44, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 3, XY, 0.0, 0.861
44, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 3, YX, 0.0, 0.94
44, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 4, XY, 0.0, 0.378
44, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 4, YX, 0.0, 0.273
44, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 5, XY, 0.0, 0.025
44, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 5, YX, 0.0, 0.432
44, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 6, XY, 0.0, 0.011
44, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 6, YX, 0.0, 0.091
44, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 7, XY, 0.0, 0.037
44, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 7, YX, 0.0, 0.178
44, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 8, XY, 0.0, 0.272
44, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 8, YX, 0.0, 0.446
44, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 9, XY, 0.0, 0.483
44, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 9, YX, 0.0, 0.823
44, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 0, XY, 0.01, 0.019
44, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 0, YX, 0.0, 0.968
44, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 1, XY, 0.002, 0.226
44, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 1, YX, 0.0, 0.876
44, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 2, XY, 0.004, 0.111
44, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 2, YX, 0.0, 0.331
44, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 3, XY, 0.017, 0.861
44, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 3, YX, 0.0, 0.324
44, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 4, XY, 0.046, 0.378
44, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 4, YX, 0.0, 0.704
44, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 5, XY, 0.001, 0.025
44, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 5, YX, 0.0, 0.659
44, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 6, XY, 0.0, 0.011
44, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 6, YX, 0.0, 0.135
44, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 7, XY, 0.0, 0.037
44, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 7, YX, 0.0, 0.721
44, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 8, XY, 0.001, 0.272
44, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 8, YX, 0.0, 0.506
44, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 9, XY, 0.569, 0.483
44, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,0], 200, 9, YX, 0.0, 0.816
45, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 0, XY, 0.831, 0.0
45, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 0, YX, 1.0, 0.0
45, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 1, XY, 0.283, 0.0
45, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 1, YX, 1.0, 0.0
45, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 2, XY, 0.0, 0.0
45, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 2, YX, 0.433, 0.0
45, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 3, XY, 0.018, 0.0
45, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 3, YX, 0.372, 0.0
45, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 4, XY, 0.192, 0.0
45, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 4, YX, 0.296, 0.0
45, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 5, XY, 0.005, 0.0
45, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 5, YX, 0.308, 0.0
45, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 6, XY, 0.828, 0.0
45, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 6, YX, 0.238, 0.0
45, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 7, XY, 0.337, 0.0
45, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 7, YX, 0.582, 0.0
45, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 8, XY, 0.04, 0.0
45, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 8, YX, 0.383, 0.0
45, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 9, XY, 0.046, 0.0
45, kci, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 9, YX, 0.41, 0.0
45, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 0, XY, 0.814, 0.0
45, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 0, YX, 1.0, 0.0
45, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 1, XY, 0.912, 0.0
45, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 1, YX, 1.0, 0.009
45, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 2, XY, 0.096, 0.0
45, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 2, YX, 0.433, 0.0
45, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 3, XY, 0.692, 0.0
45, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 3, YX, 0.372, 0.117
45, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 4, XY, 0.806, 0.0
45, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 4, YX, 0.296, 0.066
45, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 5, XY, 0.938, 0.0
45, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 5, YX, 0.308, 0.011
45, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 6, XY, 0.403, 0.0
45, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 6, YX, 0.238, 0.001
45, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 7, XY, 0.159, 0.0
45, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 7, YX, 0.582, 0.209
45, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 8, XY, 0.895, 0.0
45, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 8, YX, 0.383, 0.001
45, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 9, XY, 0.164, 0.0
45, fisherz, {}, sqrt, 2, soft, additive, 1, 1, [None,1], 200, 9, YX, 0.41, 0.395
46, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 0, XY, 0.0, 0.01
46, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 0, YX, 0.0, 0.07
46, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 1, XY, 0.0, 0.102
46, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 1, YX, 0.0, 0.85
46, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 2, XY, 0.0, 1.0
46, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 2, YX, 0.0, 0.188
46, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 3, XY, 0.0, 0.429
46, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 3, YX, 0.0, 0.91
46, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 4, XY, 0.0, 0.037
46, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 4, YX, 0.0, 0.305
46, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 5, XY, 0.0, 0.257
46, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 5, YX, 0.0, 0.813
46, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 6, XY, 0.0, 0.003
46, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 6, YX, 0.0, 0.238
46, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 7, XY, 0.0, 0.03
46, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 7, YX, 0.0, 0.308
46, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 8, XY, 0.0, 0.367
46, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 8, YX, 0.0, 0.697
46, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 9, XY, 0.0, 0.201
46, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 9, YX, 0.0, 0.798
46, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 0, XY, 0.005, 0.01
46, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 0, YX, 0.0, 0.627
46, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 1, XY, 0.049, 0.102
46, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 1, YX, 0.0, 0.741
46, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 2, XY, 0.046, 1.0
46, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 2, YX, 0.0, 0.631
46, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 3, XY, 0.278, 0.429
46, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 3, YX, 0.0, 0.28
46, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 4, XY, 0.115, 0.037
46, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 4, YX, 0.0, 0.807
46, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 5, XY, 0.015, 0.257
46, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 5, YX, 0.0, 0.875
46, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 6, XY, 0.002, 0.003
46, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 6, YX, 0.0, 0.263
46, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 7, XY, 0.089, 0.03
46, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 7, YX, 0.0, 0.999
46, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 8, XY, 0.017, 0.367
46, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 8, YX, 0.0, 0.884
46, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 9, XY, 0.808, 0.201
46, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,0], 200, 9, YX, 0.0, 0.206
47, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 0, XY, 0.722, 0.0
47, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 0, YX, 1.0, 0.0
47, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 1, XY, 0.538, 0.0
47, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 1, YX, 1.0, 0.0
47, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 2, XY, 0.017, 0.0
47, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 2, YX, 0.433, 0.0
47, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 3, XY, 0.056, 0.0
47, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 3, YX, 0.372, 0.0
47, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 4, XY, 0.178, 0.0
47, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 4, YX, 0.296, 0.0
47, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 5, XY, 0.096, 0.0
47, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 5, YX, 0.308, 0.0
47, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 6, XY, 0.552, 0.0
47, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 6, YX, 0.238, 0.0
47, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 7, XY, 0.774, 0.0
47, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 7, YX, 0.582, 0.0
47, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 8, XY, 0.038, 0.0
47, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 8, YX, 0.383, 0.0
47, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 9, XY, 0.174, 0.0
47, kci, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 9, YX, 0.41, 0.0
47, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 0, XY, 0.541, 0.0
47, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 0, YX, 1.0, 0.001
47, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 1, XY, 0.967, 0.0
47, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 1, YX, 1.0, 0.054
47, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 2, XY, 0.126, 0.0
47, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 2, YX, 0.433, 0.001
47, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 3, XY, 0.678, 0.0
47, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 3, YX, 0.372, 0.149
47, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 4, XY, 0.806, 0.0
47, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 4, YX, 0.296, 0.055
47, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 5, XY, 0.926, 0.0
47, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 5, YX, 0.308, 0.1
47, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 6, XY, 0.373, 0.0
47, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 6, YX, 0.238, 0.002
47, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 7, XY, 0.158, 0.0
47, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 7, YX, 0.582, 0.202
47, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 8, XY, 0.933, 0.0
47, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 8, YX, 0.383, 0.016
47, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 9, XY, 0.17, 0.0
47, fisherz, {}, sqrt, 2, soft, additive, 1, 2, [None,1], 200, 9, YX, 0.41, 0.698
48, kci, {}, sqrt, 2, soft, additive, 2, 0, [None,0], 200, 0, XY, 0.0, 0.0
48, kci, {}, sqrt, 2, soft, additive, 2, 0, [None,0], 200, 0, YX, 0.0, 0.0
48, kci, {}, sqrt, 2, soft, additive, 2, 0, [None,0], 200, 1, XY, 0.0, 0.0
48, kci, {}, sqrt, 2, soft, additive, 2, 0, [None,0], 200, 1, YX, 0.0, 0.482
48, kci, {}, sqrt, 2, soft, additive, 2, 0, [None,0], 200, 2, XY, 0.0, 0.0
48, kci, {}, sqrt, 2, soft, additive, 2, 0, [None,0], 200, 2, YX, 0.0, 0.316
48, kci, {}, sqrt, 2, soft, additive, 2, 0, [None,0], 200, 3, XY, 0.0, 0.0
48, kci, {}, sqrt, 2, soft, additive, 2, 0, [None,0], 200, 3, YX, 0.0, 0.799
48, kci, {}, sqrt, 2, soft, additive, 2, 0, [None,0], 200, 4, XY, 0.0, 0.011
48, kci, {}, sqrt, 2, soft, additive, 2, 0, [None,0], 200, 4, YX, 0.0, 0.812
48, kci, {}, sqrt, 2, soft, additive, 2, 0, [None,0], 200, 5, XY, 0.0, 0.001
48, kci, {}, sqrt, 2, soft, additive, 2, 0, [None,0], 200, 5, YX, 0.0, 0.03
48, kci, {}, sqrt, 2, soft, additive, 2, 0, [None,0], 200, 6, XY, 0.0, 0.001
48, kci, {}, sqrt, 2, soft, additive, 2, 0, [None,0], 200, 6, YX, 0.0, 0.586
48, kci, {}, sqrt, 2, soft, additive, 2, 0, [None,0], 200, 7, XY, 0.0, 0.0
48, kci, {}, sqrt, 2, soft, additive, 2, 0, [None,0], 200, 7, YX, 0.0, 0.005
48, kci, {}, sqrt, 2, soft, additive, 2, 0, [None,0], 200, 8, XY, 0.0, 0.001
48, kci, {}, sqrt, 2, soft, additive, 2, 0, [None,0], 200, 8, YX, 0.0, 0.288
48, kci, {}, sqrt, 2, soft, additive, 2, 0, [None,0], 200, 9, XY, 0.0, 0.023
48, kci, {}, sqrt, 2, soft, additive, 2, 0, [None,0], 200, 9, YX, 0.0, 0.878
48, fisherz, {}, sqrt, 2, soft, additive, 2, 0, [None,0], 200, 0, XY, 0.0, 0.0
48, fisherz, {}, sqrt, 2, soft, additive, 2, 0, [None,0], 200, 0, YX, 0.0, 0.067
48, fisherz, {}, sqrt, 2, soft, additive, 2, 0, [None,0], 200, 1, XY, 0.0, 0.0
48, fisherz, {}, sqrt, 2, soft, additive, 2, 0, [None,0], 200, 1, YX, 0.0, 0.342
48, fisherz, {}, sqrt, 2, soft, additive, 2, 0, [None,0], 200, 2, XY, 0.0, 0.0
48, fisherz, {}, sqrt, 2, soft, additive, 2, 0, [None,0], 200, 2, YX, 0.0, 0.041
48, fisherz, {}, sqrt, 2, soft, additive, 2, 0, [None,0], 200, 3, XY, 0.0, 0.0
48, fisherz, {}, sqrt, 2, soft, additive, 2, 0, [None,0], 200, 3, YX, 0.0, 0.085
48, fisherz, {}, sqrt, 2, soft, additive, 2, 0, [None,0], 200, 4, XY, 0.0, 0.011
48, fisherz, {}, sqrt, 2, soft, additive, 2, 0, [None,0], 200, 4, YX, 0.0, 0.153
48, fisherz, {}, sqrt, 2, soft, additive, 2, 0, [None,0], 200, 5, XY, 0.0, 0.001
