params_index, test, test_kwargs, nonlinearity, noise_df, intervention, combination, intervention_shift, intervention_scale, pre_intervention, intervention_targets, n_samples, rep, dag, X1, X2
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 1, XY, 0.0, 0.0
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 1, YX, 0.0, 0.988
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 2, XY, 0.0, 0.001
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 2, YX, 0.0, 0.221
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 3, XY, 0.0, 0.001
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 3, YX, 0.0, 0.142
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 4, XY, 0.0, 0.0
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 4, YX, 0.0, 0.713
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 5, XY, 0.0, 0.0
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 5, YX, 0.0, 0.866
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 6, XY, 0.0, 0.0
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 6, YX, 0.0, 0.328
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 7, XY, 0.0, 0.002
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 7, YX, 0.0, 0.112
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 8, XY, 0.0, 0.013
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 8, YX, 0.0, 0.793
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 9, XY, 0.0, 0.0
0, invariant_residuals, {'method': 'gam','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 200, 9, YX, 0.0, 0.866
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 50, 0, XY, 0.0, 0.146
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 50, 0, YX, 0.0, 0.179
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 50, 1, XY, 0.0, 0.094
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 50, 1, YX, 0.0, 0.396
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 50, 2, XY, 0.0, 0.039
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 50, 2, YX, 0.0, 0.112
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 50, 3, XY, 0.0, 0.011
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 50, 3, YX, 0.0, 0.272
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 50, 4, XY, 0.0, 0.199
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 50, 4, YX, 0.0, 0.549
0, invariant_residuals, {'method': 'linear','test': 'ks'}, sqrt, 100, soft, additive, 2, 1, False, [None,0], 50, 5, XY, 0.0, 0.045
