params_index, test, test_kwargs, nonlinearity, noise_df, intervention, combination, intervention_shift, intervention_scale, intervention_targets, n_samples, rep, dag, X1, X2
3, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 2, YX, 0.433, 0.04
3, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 3, XY, 0.27, 0.1
3, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 3, YX, 0.372, 0.221
3, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 4, XY, 0.866, 0.057
3, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 4, YX, 0.296, 0.068
3, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 5, XY, 0.052, 0.059
3, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 5, YX, 0.308, 0.068
3, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 6, XY, 0.04, 0.0
3, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 6, YX, 0.238, 0.068
3, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 7, XY, 0.466, 0.003
3, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 7, YX, 0.582, 0.178
3, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 8, XY, 0.713, 0.473
3, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 8, YX, 0.383, 0.009
3, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 9, XY, 0.924, 0.014
3, invariant_residuals, {'method': 'gam','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 9, YX, 0.41, 0.068
3, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 0, XY, 0.012, 0.01
3, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 0, YX, 1.0, 0.002
3, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 1, XY, 0.27, 0.075
3, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 1, YX, 1.0, 0.03
3, invariant_residuals, {'method': 'linear','test': 'ks'}, id, 2, soft, additive, 0, 1, [None,1], 200, 2, XY, 0.27, 0.456
