Params, Params, Params, Params, Params, Params, Params, Params, Params, Params, Params, XY, XY, YX, YX
params_index, nonlinearity, noise_df, intervention, combination, intervention_shift, intervention_scale, pre_intervention, intervention_targets, n_samples, rep, X1, X2, X1, X2
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 16, 0.01, 0.001, 0.0, 0.228
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 17, 0.01, 0.001, 0.0, 0.851
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 18, 0.01, 0.0, 0.0, 0.277
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 19, 0.01, 0.0, 0.0, 0.327
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 20, 0.01, 0.019, 0.0, 0.277
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 21, 0.01, 0.0, 0.0, 0.426
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 22, 0.01, 0.021, 0.0, 0.356
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 23, 0.01, 0.0, 0.0, 0.366
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 24, 0.01, 0.002, 0.0, 0.574
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 25, 0.01, 0.0, 0.0, 0.416
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 26, 0.01, 0.117, 0.0, 0.564
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 27, 0.01, 0.0, 0.0, 0.277
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 28, 0.01, 0.0, 0.0, 0.634
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 29, 0.01, 0.001, 0.0, 0.99
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 30, 0.01, 0.0, 0.0, 0.723
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 31, 0.01, 0.001, 0.0, 0.713
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 32, 0.01, 0.001, 0.0, 0.05
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 33, 0.02, 0.0, 0.0, 0.931
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 34, 0.01, 0.041, 0.0, 0.861
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 35, 0.01, 0.008, 0.0, 0.515
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 36, 0.01, 0.0, 0.0, 0.614
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 37, 0.01, 0.006, 0.0, 0.832
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 38, 0.01, 0.0, 0.0, 0.446
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 100, 39, 0.01, 0.0, 0.0, 0.752
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 0, 0.01, 0.0, 0.0, 0.307
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 1, 0.01, 0.0, 0.0, 0.871
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 2, 0.01, 0.0, 0.0, 0.604
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 3, 0.02, 0.0, 0.0, 0.871
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 4, 0.01, 0.0, 0.0, 0.099
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 5, 0.01, 0.0, 0.0, 0.871
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 6, 0.01, 0.0, 0.0, 0.505
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 7, 0.01, 0.0, 0.0, 0.743
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 8, 0.01, 0.0, 0.0, 0.911
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 9, 0.01, 0.0, 0.0, 0.97
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 10, 0.01, 0.0, 0.0, 0.564
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 11, 0.01, 0.0, 0.0, 0.515
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 12, 0.01, 0.0, 0.0, 0.406
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 13, 0.01, 0.0, 0.0, 0.287
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 14, 0.01, 0.0, 0.0, 0.743
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 15, 0.01, 0.0, 0.0, 0.495
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 16, 0.01, 0.0, 0.0, 0.297
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 17, 0.01, 0.0, 0.0, 0.05
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 18, 0.01, 0.0, 0.0, 0.505
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 19, 0.01, 0.0, 0.0, 0.683
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 20, 0.01, 0.0, 0.0, 0.97
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 21, 0.01, 0.0, 0.0, 0.465
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 22, 0.01, 0.0, 0.0, 0.297
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 23, 0.02, 0.0, 0.0, 0.762
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 24, 0.01, 0.001, 0.0, 0.267
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 25, 0.01, 0.0, 0.0, 0.475
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 26, 0.01, 0.0, 0.0, 0.574
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 27, 0.01, 0.0, 0.0, 0.871
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 28, 0.01, 0.0, 0.0, 0.782
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 29, 0.01, 0.0, 0.0, 0.634
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 30, 0.01, 0.0, 0.0, 0.762
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 31, 0.01, 0.0, 0.0, 0.802
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 32, 0.01, 0.0, 0.0, 0.475
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 33, 0.01, 0.0, 0.0, 0.525
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 34, 0.01, 0.0, 0.0, 0.792
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 35, 0.01, 0.0, 0.0, 0.891
0, sqrt, 100, soft, additive, 2, 0, False, [None,0], 200, 36, 0.01, 0.0, 0.0, 0.228
