Params, Params, Params, Params, Params, Params, Params, Params, Params, Params, Params, XY, XY, YX, YX
params_index, nonlinearity, noise_df, intervention, combination, intervention_shift, intervention_scale, pre_intervention, intervention_targets, n_samples, rep, X1, X2, X1, X2
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 59, 0.114, 0.0, 0.0, 0.517
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 60, 0.095, 0.0, 0.0, 0.537
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 61, 0.224, 0.001, 0.0, 0.706
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 62, 0.04, 0.002, 0.0, 0.831
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 63, 0.229, 0.001, 0.0, 0.721
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 64, 0.07, 0.069, 0.001, 0.577
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 65, 0.08, 0.0, 0.0, 0.308
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 66, 0.109, 0.0, 0.0, 0.721
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 67, 0.02, 0.0, 0.0, 0.139
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 68, 0.144, 0.001, 0.0, 0.826
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 69, 0.164, 0.001, 0.0, 0.851
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 70, 0.279, 0.0, 0.0, 0.318
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 71, 0.104, 0.0, 0.0, 0.851
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 72, 0.065, 0.001, 0.0, 0.224
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 73, 0.134, 0.0, 0.0, 0.99
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 74, 0.045, 0.0, 0.0, 0.751
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 75, 0.184, 0.0, 0.0, 0.443
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 76, 0.02, 0.001, 0.0, 0.204
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 77, 0.353, 0.0, 0.0, 0.363
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 78, 0.06, 0.0, 0.0, 0.045
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 79, 0.095, 0.0, 0.0, 0.363
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 80, 0.433, 0.001, 0.0, 0.9
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 81, 0.1, 0.0, 0.0, 0.353
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 82, 0.254, 0.012, 0.0, 0.294
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 83, 0.408, 0.0, 0.0, 0.06
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 84, 0.164, 0.003, 0.0, 0.826
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 85, 0.224, 0.0, 0.0, 0.229
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 86, 0.119, 0.001, 0.0, 0.965
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 87, 0.07, 0.001, 0.0, 0.229
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 88, 0.229, 0.0, 0.0, 0.557
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 89, 0.075, 0.0, 0.0, 0.697
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 90, 0.667, 0.0, 0.0, 0.861
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 91, 0.07, 0.0, 0.0, 0.861
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 92, 0.124, 0.0, 0.0, 0.891
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 93, 0.174, 0.0, 0.0, 0.687
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 94, 0.338, 0.001, 0.0, 0.672
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 95, 0.209, 0.001, 0.0, 0.821
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 96, 0.249, 0.0, 0.0, 0.328
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 97, 0.164, 0.0, 0.0, 0.259
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 98, 0.368, 0.0, 0.0, 0.284
0, id, 10, soft, additive, 2, 0, False, [None,0], 25, 99, 0.537, 0.0, 0.0, 0.07
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 0, 0.463, 0.0, 0.0, 0.692
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 1, 0.095, 0.0, 0.0, 0.796
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 2, 0.214, 0.0, 0.0, 0.413
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 3, 0.025, 0.0, 0.0, 0.592
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 4, 0.055, 0.0, 0.0, 0.204
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 5, 0.045, 0.0, 0.0, 0.174
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 6, 0.657, 0.0, 0.0, 0.219
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 7, 0.214, 0.0, 0.0, 0.463
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 8, 0.149, 0.0, 0.0, 0.204
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 9, 0.01, 0.0, 0.0, 0.935
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 10, 0.03, 0.001, 0.0, 0.721
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 11, 0.149, 0.0, 0.0, 0.139
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 12, 0.095, 0.0, 0.0, 0.607
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 13, 0.045, 0.0, 0.0, 0.697
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 14, 0.199, 0.0, 0.0, 0.791
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 15, 0.139, 0.0, 0.0, 0.174
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 16, 0.129, 0.0, 0.0, 0.468
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 17, 0.234, 0.0, 0.0, 0.592
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 18, 0.075, 0.0, 0.0, 0.637
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 19, 0.05, 0.0, 0.0, 0.363
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 20, 0.299, 0.0, 0.0, 0.368
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 21, 0.01, 0.0, 0.0, 0.721
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 22, 0.214, 0.0, 0.0, 0.547
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 23, 0.333, 0.0, 0.0, 0.851
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 24, 0.06, 0.0, 0.0, 0.219
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 25, 0.075, 0.0, 0.0, 0.816
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 26, 0.085, 0.0, 0.0, 0.313
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 27, 0.657, 0.0, 0.0, 0.363
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 28, 0.07, 0.002, 0.0, 0.716
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 29, 0.085, 0.0, 0.0, 0.896
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 30, 0.08, 0.0, 0.0, 0.647
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 31, 0.204, 0.0, 0.0, 0.612
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 32, 0.104, 0.0, 0.0, 0.796
0, id, 10, soft, additive, 2, 0, False, [None,0], 50, 33, 0.104, 0.0, 0.0, 0.96
