Params, Params, Params, Params, Params, Params, Params, Params, Params, Params, Params, XY, XY, YX, YX
params_index, nonlinearity, noise_df, intervention, combination, intervention_shift, intervention_scale, pre_intervention, intervention_targets, n_samples, rep, X1, X2, X1, X2
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 100, 16, 0.01, 0.0, 0.0, 0.238
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 100, 17, 0.05, 0.001, 0.0, 0.861
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 100, 18, 0.059, 0.0, 0.0, 0.386
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 100, 19, 0.158, 0.004, 0.0, 0.931
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 100, 20, 0.01, 0.02, 0.0, 0.535
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 100, 21, 0.109, 0.0, 0.0, 0.406
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 100, 22, 0.03, 0.158, 0.0, 0.436
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 100, 23, 0.059, 0.006, 0.0, 0.168
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 100, 24, 0.099, 0.004, 0.0, 0.297
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 100, 25, 0.069, 0.0, 0.0, 0.644
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 100, 26, 0.01, 0.186, 0.0, 0.396
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 100, 27, 0.04, 0.001, 0.0, 0.277
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 100, 28, 0.079, 0.003, 0.0, 0.802
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 100, 29, 0.04, 0.005, 0.0, 0.782
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 100, 30, 0.03, 0.028, 0.0, 0.822
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 100, 31, 0.079, 0.02, 0.0, 0.198
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 100, 32, 0.228, 0.039, 0.0, 0.069
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 100, 33, 0.772, 0.006, 0.002, 1.0
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 100, 34, 0.01, 0.057, 0.0, 0.693
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 100, 35, 0.04, 0.011, 0.0, 0.713
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 100, 36, 0.059, 0.005, 0.0, 0.851
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 100, 37, 0.01, 0.008, 0.0, 0.495
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 100, 38, 0.069, 0.0, 0.0, 0.693
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 100, 39, 0.059, 0.0, 0.0, 0.762
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 0, 0.03, 0.0, 0.0, 0.287
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 1, 0.05, 0.0, 0.0, 0.881
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 2, 0.02, 0.0, 0.0, 0.96
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 3, 0.386, 0.0, 0.0, 0.564
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 4, 0.02, 0.0, 0.0, 0.069
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 5, 0.01, 0.0, 0.0, 0.762
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 6, 0.05, 0.0, 0.0, 0.881
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 7, 0.01, 0.0, 0.0, 0.901
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 8, 0.01, 0.0, 0.0, 0.713
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 9, 0.059, 0.0, 0.0, 0.911
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 10, 0.01, 0.0, 0.0, 0.238
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 11, 0.069, 0.0, 0.0, 0.287
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 12, 0.01, 0.0, 0.0, 0.347
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 13, 0.03, 0.0, 0.0, 0.366
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 14, 0.02, 0.0, 0.0, 0.792
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 15, 0.099, 0.0, 0.0, 0.703
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 16, 0.02, 0.0, 0.0, 0.337
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 17, 0.099, 0.0, 0.0, 0.158
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 18, 0.01, 0.0, 0.0, 0.416
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 19, 0.01, 0.002, 0.0, 0.802
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 20, 0.01, 0.004, 0.0, 0.96
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 21, 0.02, 0.0, 0.0, 0.921
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 22, 0.208, 0.0, 0.0, 0.297
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 23, 0.03, 0.0, 0.0, 0.723
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 24, 0.02, 0.003, 0.0, 0.505
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 25, 0.02, 0.001, 0.0, 0.653
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 26, 0.03, 0.0, 0.0, 0.624
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 27, 0.01, 0.0, 0.0, 0.693
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 28, 0.059, 0.0, 0.0, 0.644
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 29, 0.178, 0.0, 0.0, 0.644
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 30, 0.218, 0.0, 0.0, 0.495
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 31, 0.069, 0.0, 0.0, 0.95
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 32, 0.02, 0.0, 0.0, 0.188
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 33, 0.01, 0.0, 0.0, 0.891
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 34, 0.03, 0.003, 0.0, 0.861
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 35, 0.02, 0.0, 0.0, 0.545
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 36, 0.139, 0.0, 0.0, 0.327
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 37, 0.01, 0.0, 0.0, 0.465
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 38, 0.01, 0.0, 0.0, 0.812
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 200, 39, 0.01, 0.0, 0.0, 0.584
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 0, 0.02, 0.0, 0.0, 0.574
0, sqrt, 100, soft, additive, 1, 0, False, [None,0], 300, 1, 0.149, 0.0, 0.0, 0.941
