Params, Params, Params, Params, Params, Params, Params, Params, Params, Params, Params, XY, XY, YX, YX
params_index, nonlinearity, noise_df, intervention, combination, intervention_shift, intervention_scale, pre_intervention, intervention_targets, n_samples, rep, X1, X2, X1, X2
0, id, 10, soft, additive, 3, 0, False, [None,0], 100, 19, 0.069, 0.0, 0.0, 0.347
0, id, 10, soft, additive, 3, 0, False, [None,0], 100, 20, 0.089, 0.0, 0.0, 0.911
0, id, 10, soft, additive, 3, 0, False, [None,0], 100, 21, 0.04, 0.0, 0.0, 0.683
0, id, 10, soft, additive, 3, 0, False, [None,0], 100, 22, 0.05, 0.0, 0.0, 0.772
0, id, 10, soft, additive, 3, 0, False, [None,0], 100, 23, 0.03, 0.0, 0.0, 0.881
0, id, 10, soft, additive, 3, 0, False, [None,0], 100, 24, 0.168, 0.0, 0.0, 0.614
0, id, 10, soft, additive, 3, 0, False, [None,0], 100, 25, 0.099, 0.0, 0.0, 0.614
0, id, 10, soft, additive, 3, 0, False, [None,0], 100, 26, 0.149, 0.0, 0.0, 0.257
0, id, 10, soft, additive, 3, 0, False, [None,0], 100, 27, 0.03, 0.0, 0.0, 0.545
0, id, 10, soft, additive, 3, 0, False, [None,0], 100, 28, 0.317, 0.0, 0.0, 0.267
0, id, 10, soft, additive, 3, 0, False, [None,0], 100, 29, 0.386, 0.0, 0.0, 0.663
0, id, 10, soft, additive, 3, 0, False, [None,0], 100, 30, 0.079, 0.0, 0.0, 0.851
0, id, 10, soft, additive, 3, 0, False, [None,0], 100, 31, 0.04, 0.0, 0.0, 0.663
0, id, 10, soft, additive, 3, 0, False, [None,0], 100, 32, 0.218, 0.0, 0.0, 0.574
0, id, 10, soft, additive, 3, 0, False, [None,0], 100, 33, 0.178, 0.0, 0.0, 0.703
0, id, 10, soft, additive, 3, 0, False, [None,0], 100, 34, 0.02, 0.0, 0.0, 0.842
0, id, 10, soft, additive, 3, 0, False, [None,0], 100, 35, 0.02, 0.0, 0.0, 0.941
0, id, 10, soft, additive, 3, 0, False, [None,0], 100, 36, 0.129, 0.0, 0.0, 0.168
0, id, 10, soft, additive, 3, 0, False, [None,0], 100, 37, 0.02, 0.0, 0.0, 0.119
0, id, 10, soft, additive, 3, 0, False, [None,0], 100, 38, 0.317, 0.0, 0.0, 0.535
0, id, 10, soft, additive, 3, 0, False, [None,0], 100, 39, 0.228, 0.0, 0.0, 0.307
0, id, 10, soft, additive, 3, 0, False, [None,0], 200, 0, 0.109, 0.0, 0.0, 0.812
0, id, 10, soft, additive, 3, 0, False, [None,0], 200, 1, 0.04, 0.0, 0.0, 0.495
0, id, 10, soft, additive, 3, 0, False, [None,0], 200, 2, 0.109, 0.0, 0.0, 0.713
0, id, 10, soft, additive, 3, 0, False, [None,0], 200, 3, 0.129, 0.0, 0.0, 0.594
0, id, 10, soft, additive, 3, 0, False, [None,0], 200, 4, 0.079, 0.0, 0.0, 0.168
