Params, Params, Params, Params, XY, XY, YX, YX
params_index, intervention_targets, n_samples, rep, X1, X2, X1, X2
1, [None,1], 50, 15, 0.842, 0.0, 0.824, 0.01
1, [None,1], 50, 16, 0.832, 0.007, 0.334, 0.337
1, [None,1], 50, 17, 0.624, 0.008, 0.752, 0.03
1, [None,1], 50, 18, 0.238, 0.06, 0.332, 0.238
1, [None,1], 50, 19, 0.129, 0.001, 0.344, 0.01
1, [None,1], 100, 0, 0.396, 0.0, 1.0, 0.01
1, [None,1], 100, 1, 0.01, 0.012, 0.11, 0.01
1, [None,1], 100, 2, 0.475, 0.0, 0.281, 0.01
1, [None,1], 100, 3, 0.01, 0.002, 0.173, 0.01
1, [None,1], 100, 4, 0.366, 0.0, 0.184, 0.01
1, [None,1], 100, 5, 0.03, 1.0, 0.373, 0.04
1, [None,1], 100, 6, 0.307, 0.0, 1.0, 0.01
1, [None,1], 100, 7, 0.119, 0.039, 1.0, 0.02
1, [None,1], 100, 8, 0.376, 0.048, 0.086, 0.079
1, [None,1], 100, 9, 0.337, 0.007, 0.359, 0.02
1, [None,1], 100, 10, 0.099, 0.0, 0.181, 0.01
1, [None,1], 100, 11, 0.178, 0.0, 1.0, 0.01
1, [None,1], 100, 12, 0.921, 0.0, 1.0, 0.01
1, [None,1], 100, 13, 0.01, 0.022, 0.177, 0.01
1, [None,1], 100, 14, 0.129, 0.001, 1.0, 0.01
1, [None,1], 100, 15, 0.198, 0.0, 0.368, 0.01
1, [None,1], 100, 16, 0.158, 0.0, 1.0, 0.01
1, [None,1], 100, 17, 0.743, 0.0, 0.191, 0.01
1, [None,1], 100, 18, 0.01, 0.2, 1.0, 0.04
1, [None,1], 100, 19, 0.733, 0.0, 0.19, 0.01
1, [None,1], 200, 0, 0.624, 0.0, 0.189, 0.01
1, [None,1], 200, 1, 0.089, 0.0, 1.0, 0.01
1, [None,1], 200, 2, 0.01, 0.0, 0.107, 0.01
1, [None,1], 200, 3, 0.426, 0.01, 0.703, 0.03
1, [None,1], 200, 4, 1.0, 0.0, 0.743, 0.01
1, [None,1], 200, 5, 0.436, 0.0, 0.095, 0.01
1, [None,1], 200, 6, 0.366, 0.0, 0.573, 0.01
1, [None,1], 200, 7, 0.287, 0.0, 1.0, 0.01
1, [None,1], 200, 8, 0.149, 0.0, 0.208, 0.01
1, [None,1], 200, 9, 0.337, 0.0, 0.466, 0.01
1, [None,1], 200, 10, 0.188, 0.0, 1.0, 0.01
1, [None,1], 200, 11, 0.525, 0.0, 1.0, 0.01
1, [None,1], 200, 12, 0.01, 0.47, 0.363, 0.01
1, [None,1], 200, 13, 0.01, 0.161, 0.615, 0.04
1, [None,1], 200, 14, 0.089, 0.0, 0.589, 0.01
1, [None,1], 200, 15, 0.644, 0.0, 0.532, 0.01
1, [None,1], 200, 16, 0.772, 0.0, 0.474, 0.01
1, [None,1], 200, 17, 0.881, 0.0, 0.276, 0.01
1, [None,1], 200, 18, 0.04, 0.0, 0.84, 0.01
1, [None,1], 200, 19, 0.802, 0.0, 0.441, 0.01
1, [None,1], 300, 0, 0.673, 0.0, 0.445, 0.01
1, [None,1], 300, 1, 0.01, 0.0, 0.434, 0.01
1, [None,1], 300, 2, 0.723, 0.0, 1.0, 0.01
1, [None,1], 300, 3, 0.059, 0.0, 1.0, 0.01
1, [None,1], 300, 4, 0.921, 0.0, 1.0, 0.01
1, [None,1], 300, 5, 0.366, 0.005, 0.678, 0.01
1, [None,1], 300, 6, 0.614, 0.0, 0.398, 0.01
